NULL
NULL
NULL
NULL
NULL
NULL
NULL

No pre-processing
Resampling: Cross-Validated (10 fold) 
Summary of sample sizes: 4500, 4500, 4500, 4500, 4500, 4500, ... 
Resampling results across tuning parameters:

  alpha      lambda       RMSE       Rsquared      MAE      
  0.5101010  0.333366667  0.9996423           NaN  0.8008347
  0.5101010  0.338416162  0.9996423           NaN  0.8008347
  0.5101010  0.343465657  0.9996423           NaN  0.8008347
  0.5101010  0.348515152  0.9996423           NaN  0.8008347
  0.5101010  0.353564646  0.9996423           NaN  0.8008347
  0.5101010  0.358614141  0.9996423           NaN  0.8008347
  0.5101010  0.363663636  0.9996423           NaN  0.8008347
  0.5101010  0.368713131  0.9996423           NaN  0.8008347
  0.5101010  0.373762626  0.9996423           NaN  0.8008347
  0.5101010  0.378812121  0.9996423           NaN  0.8008347
  0.5101010  0.383861616  0.9996423           NaN  0.8008347
  0.5101010  0.388911111  0.9996423           NaN  0.8008347
  0.5101010  0.393960606  0.9996423           NaN  0.8008347
  0.5101010  0.399010101  0.9996423           NaN  0.8008347
  0.5101010  0.404059596  0.9996423           NaN  0.8008347
  0.5101010  0.409109091  0.9996423           NaN  0.8008347
  0.5101010  0.414158586  0.9996423           NaN  0.8008347
  0.5101010  0.419208081  0.9996423           NaN  0.8008347
  0.5101010  0.424257576  0.9996423           NaN  0.8008347
  0.5101010  0.429307071  0.9996423           NaN  0.8008347
  0.5101010  0.434356566  0.9996423           NaN  0.8008347
  0.5101010  0.439406061  0.9996423           NaN  0.8008347
  0.5101010  0.444455556  0.9996423           NaN  0.8008347
  0.5101010  0.449505051  0.9996423           NaN  0.8008347
  0.5101010  0.454554545  0.9996423           NaN  0.8008347
  0.5101010  0.459604040  0.9996423           NaN  0.8008347
  0.5101010  0.464653535  0.9996423           NaN  0.8008347
  0.5101010  0.469703030  0.9996423           NaN  0.8008347
  0.5101010  0.474752525  0.9996423           NaN  0.8008347
  0.5101010  0.479802020  0.9996423           NaN  0.8008347
  0.5101010  0.484851515  0.9996423           NaN  0.8008347
  0.5101010  0.489901010  0.9996423           NaN  0.8008347
  0.5101010  0.494950505  0.9996423           NaN  0.8008347
  0.5101010  0.500000000  0.9996423           NaN  0.8008347
  0.5151515  0.000100000  1.0155149  0.0100352307  0.8122766
  0.5151515  0.005149495  1.0089724  0.0104990647  0.8072341
  0.5151515  0.010198990  1.0040153  0.0109332091  0.8036062
  0.5151515  0.015248485  1.0007128  0.0110107125  0.8012089
  0.5151515  0.020297980  0.9985583  0.0109817610  0.7994982
  0.5151515  0.025347475  0.9971477  0.0111231906  0.7985085
  0.5151515  0.030396970  0.9961799  0.0113425495  0.7979768
  0.5151515  0.035446465  0.9955422  0.0117405654  0.7977261
  0.5151515  0.040495960  0.9952650  0.0121124627  0.7976200
  0.5151515  0.045545455  0.9954079  0.0121034815  0.7978824
  0.5151515  0.050594949  0.9959436  0.0112640852  0.7983859
  0.5151515  0.055644444  0.9966728  0.0099168305  0.7989796
  0.5151515  0.060693939  0.9974279  0.0084169422  0.7995636
  0.5151515  0.065743434  0.9980804  0.0071493135  0.8000195
  0.5151515  0.070792929  0.9985696  0.0060682794  0.8003403
  0.5151515  0.075842424  0.9989370  0.0050774815  0.8005649
  0.5151515  0.080891919  0.9992212  0.0039449491  0.8007194
  0.5151515  0.085941414  0.9994265  0.0027025868  0.8008270
  0.5151515  0.090990909  0.9995269  0.0019843125  0.8008536
  0.5151515  0.096040404  0.9995794  0.0017408092  0.8008454
  0.5151515  0.101089899  0.9996210  0.0016372814  0.8008495
  0.5151515  0.106139394  0.9996499  0.0016068578  0.8008552
  0.5151515  0.111188889  0.9996649  0.0009830153  0.8008551
  0.5151515  0.116238384  0.9996581  0.0001282652  0.8008493
  0.5151515  0.121287879  0.9996487  0.0001282652  0.8008419
  0.5151515  0.126337374  0.9996423           NaN  0.8008347
  0.5151515  0.131386869  0.9996423           NaN  0.8008347
  0.5151515  0.136436364  0.9996423           NaN  0.8008347
  0.5151515  0.141485859  0.9996423           NaN  0.8008347
  0.5151515  0.146535354  0.9996423           NaN  0.8008347
  0.5151515  0.151584848  0.9996423           NaN  0.8008347
  0.5151515  0.156634343  0.9996423           NaN  0.8008347
  0.5151515  0.161683838  0.9996423           NaN  0.8008347
  0.5151515  0.166733333  0.9996423           NaN  0.8008347
  0.5151515  0.171782828  0.9996423           NaN  0.8008347
  0.5151515  0.176832323  0.9996423           NaN  0.8008347
  0.5151515  0.181881818  0.9996423           NaN  0.8008347
  0.5151515  0.186931313  0.9996423           NaN  0.8008347
  0.5151515  0.191980808  0.9996423           NaN  0.8008347
  0.5151515  0.197030303  0.9996423           NaN  0.8008347
  0.5151515  0.202079798  0.9996423           NaN  0.8008347
  0.5151515  0.207129293  0.9996423           NaN  0.8008347
  0.5151515  0.212178788  0.9996423           NaN  0.8008347
  0.5151515  0.217228283  0.9996423           NaN  0.8008347
  0.5151515  0.222277778  0.9996423           NaN  0.8008347
  0.5151515  0.227327273  0.9996423           NaN  0.8008347
  0.5151515  0.232376768  0.9996423           NaN  0.8008347
  0.5151515  0.237426263  0.9996423           NaN  0.8008347
  0.5151515  0.242475758  0.9996423           NaN  0.8008347
  0.5151515  0.247525253  0.9996423           NaN  0.8008347
  0.5151515  0.252574747  0.9996423           NaN  0.8008347
  0.5151515  0.257624242  0.9996423           NaN  0.8008347
  0.5151515  0.262673737  0.9996423           NaN  0.8008347
  0.5151515  0.267723232  0.9996423           NaN  0.8008347
