glmnet 

3836 samples
 256 predictor

No pre-processing
Resampling: Cross-Validated (10 fold) 
Summary of sample sizes: 3452, 3452, 3452, 3453, 3454, 3453, ... 
Resampling results across tuning parameters:

  alpha      lambda       RMSE      Rsquared     MAE     
  0.5101010  0.489901010  24.79998  0.010713936  19.82512
  0.5101010  0.494950505  24.79709  0.010730032  19.82260
  0.5101010  0.500000000  24.79424  0.010745759  19.82013
  0.5151515  0.000100000  25.35919  0.008837992  20.29006
  0.5151515  0.005149495  25.35919  0.008837992  20.29006
  0.5151515  0.010198990  25.35052  0.008849118  20.28356
  0.5151515  0.015248485  25.34120  0.008860136  20.27651
  0.5151515  0.020297980  25.33194  0.008871553  20.26956
  0.5151515  0.025347475  25.32277  0.008883950  20.26268
  0.5151515  0.030396970  25.31365  0.008897072  20.25582
  0.5151515  0.035446465  25.30463  0.008910081  20.24897
  0.5151515  0.040495960  25.29568  0.008922584  20.24217
  0.5151515  0.045545455  25.28680  0.008935858  20.23539
  0.5151515  0.050594949  25.27797  0.008950184  20.22865
  0.5151515  0.055644444  25.26922  0.008965112  20.22197
  0.5151515  0.060693939  25.26059  0.008979994  20.21533
  0.5151515  0.065743434  25.25208  0.008995142  20.20883
  0.5151515  0.070792929  25.24369  0.009009368  20.20235
  0.5151515  0.075842424  25.23546  0.009022994  20.19589
  0.5151515  0.080891919  25.22718  0.009037435  20.18938
  0.5151515  0.085941414  25.21892  0.009052822  20.18299
  0.5151515  0.090990909  25.21087  0.009068979  20.17674
  0.5151515  0.096040404  25.20298  0.009084745  20.17054
  0.5151515  0.101089899  25.19513  0.009100116  20.16433
  0.5151515  0.106139394  25.18737  0.009115034  20.15810
  0.5151515  0.111188889  25.17964  0.009131044  20.15189
  0.5151515  0.116238384  25.17199  0.009147038  20.14566
  0.5151515  0.121287879  25.16440  0.009164348  20.13948
  0.5151515  0.126337374  25.15686  0.009182179  20.13331
  0.5151515  0.131386869  25.14944  0.009198855  20.12720
  0.5151515  0.136436364  25.14213  0.009215746  20.12111
  0.5151515  0.141485859  25.13501  0.009229488  20.11513
  0.5151515  0.146535354  25.12805  0.009241093  20.10928
  0.5151515  0.151584848  25.12119  0.009252754  20.10355
  0.5151515  0.156634343  25.11444  0.009263591  20.09792
  0.5151515  0.161683838  25.10779  0.009274174  20.09233
  0.5151515  0.166733333  25.10125  0.009283826  20.08687
  0.5151515  0.171782828  25.09481  0.009293380  20.08144
  0.5151515  0.176832323  25.08842  0.009304966  20.07608
  0.5151515  0.181881818  25.08209  0.009316257  20.07078
  0.5151515  0.186931313  25.07582  0.009328388  20.06566
  0.5151515  0.191980808  25.06960  0.009341115  20.06057
  0.5151515  0.197030303  25.06345  0.009353590  20.05553
  0.5151515  0.202079798  25.05734  0.009367021  20.05051
  0.5151515  0.207129293  25.05129  0.009380785  20.04545
  0.5151515  0.212178788  25.04527  0.009396195  20.04034
  0.5151515  0.217228283  25.03931  0.009410997  20.03536
  0.5151515  0.222277778  25.03344  0.009425618  20.03047
  0.5151515  0.227327273  25.02750  0.009444030  20.02550
